Purchase_Year,Original_Price,Furniture_Type,Material,Quality,Color,Condition_Years,Target_Year,Predicted_Price
2017,"₹20,577",Bookshelf,Wood,Medium,Beige,8,2025,"₹3,452"
2021,"₹24,772",Table,Plastic,Low,White,4,2025,"₹5,947"
2018,"₹40,046",Wardrobe,Engineered Wood,Medium,Brown,7,2025,"₹8,398"
2015,"₹46,216",Dresser,Plywood,High,Beige,10,2025,"₹16,114"
2024,"₹37,402",Sofa,Wood,High,White,1,2025,"₹33,661"
2017,"₹8,211",Table,Engineered Wood,Medium,Grey,8,2025,"₹1,377"
2024,"₹13,466",Bookshelf,Wood,High,Blue,1,2025,"₹12,119"
2021,"₹5,501",TV Unit,Plastic,Medium,Grey,4,2025,"₹2,253"
2023,"₹43,462",Dresser,Engineered Wood,Low,Walnut,2,2025,"₹21,296"
2021,"₹31,014",Cabinet,MDF,Low,Red,4,2025,"₹7,446"
2022,"₹46,045",Sofa,Wood,High,Beige,3,2025,"₹33,566"
2020,"₹30,044",Bookshelf,Steel,Low,Black,5,2025,"₹5,049"
2020,"₹49,319",Cabinet,Plastic,Low,Grey,5,2025,"₹8,289"
2015,"₹4,185",Chair,Engineered Wood,Medium,Grey,10,2025,"₹1,000"
2022,"₹35,001",Wardrobe,MDF,Medium,Cream,3,2025,"₹17,920"
2022,"₹26,983",Wardrobe,Plywood,Low,Teak,3,2025,"₹9,255"
2019,"₹22,733",Cabinet,Plywood,Medium,Red,6,2025,"₹5,959"
2016,"₹22,261",Table,Wood,Low,Grey,9,2025,"₹1,000"
2015,"₹36,558",TV Unit,Wood,Low,Cream,10,2025,"₹1,032"
2023,"₹27,186",TV Unit,Plastic,High,Black,2,2025,"₹22,020"
2016,"₹39,044",Bookshelf,MDF,Medium,Black,9,2025,"₹5,240"
2018,"₹18,622",Table,Steel,High,Beige,7,2025,"₹8,906"
2024,"₹7,501",Table,MDF,Medium,Brown,1,2025,"₹6,000"
2017,"₹45,077",Table,MDF,Medium,Walnut,8,2025,"₹7,562"
2022,"₹25,252",Dining Table,Teak Wood,Low,White,3,2025,"₹8,661"
2015,"₹11,822",Bed,Plastic,High,Brown,10,2025,"₹4,122"
2016,"₹16,131",Bed,Wood,Low,Walnut,9,2025,"₹1,000"
2017,"₹27,904",Bookshelf,Plastic,High,Blue,8,2025,"₹12,011"
2019,"₹24,718",Cabinet,Engineered Wood,High,Teak,6,2025,"₹13,136"
2023,"₹39,725",Bed,Wood,Medium,Beige,2,2025,"₹25,424"
2018,"₹26,049",Dresser,Wood,High,Brown,7,2025,"₹12,459"
2016,"₹13,273",Sofa,Plastic,Medium,Blue,9,2025,"₹1,781"
2020,"₹46,485",Dining Table,Engineered Wood,High,Teak,5,2025,"₹27,448"
2019,"₹18,812",Bed,Steel,Medium,Brown,6,2025,"₹4,931"
2020,"₹36,906",Bookshelf,Engineered Wood,Medium,White,5,2025,"₹12,093"
2021,"₹38,484",TV Unit,Plastic,Low,Black,4,2025,"₹9,240"
2018,"₹49,678",Table,Teak Wood,Medium,Red,7,2025,"₹10,418"
2024,"₹46,955",TV Unit,Steel,Medium,Walnut,1,2025,"₹37,564"
2022,"₹21,199",Dining Table,Plastic,High,White,3,2025,"₹15,454"
2015,"₹36,051",Bed,Teak Wood,Low,White,10,2025,"₹1,018"
2022,"₹28,353",Dining Table,Engineered Wood,Medium,Walnut,3,2025,"₹14,516"
2023,"₹12,024",Chair,Teak Wood,Low,Blue,2,2025,"₹5,891"
2018,"₹16,292",TV Unit,MDF,Low,Brown,7,2025,"₹1,341"
2020,"₹39,407",Dresser,Plastic,High,Brown,5,2025,"₹23,269"
2019,"₹38,641",Chair,Wood,Medium,Blue,6,2025,"₹10,129"
2016,"₹17,388",Bookshelf,Steel,High,Grey,9,2025,"₹6,736"
2020,"₹43,486",Chair,Engineered Wood,Low,Red,5,2025,"₹7,308"
2016,"₹31,509",Sofa,Steel,High,Black,9,2025,"₹12,207"
2018,"₹15,975",TV Unit,Teak Wood,Medium,White,7,2025,"₹3,350"
2024,"₹22,033",TV Unit,Teak Wood,Low,Grey,1,2025,"₹15,423"
2023,"₹37,247",TV Unit,MDF,Low,Brown,2,2025,"₹18,251"
2018,"₹41,858",Chair,Steel,Low,Beige,7,2025,"₹3,447"
2016,"₹12,407",Wardrobe,MDF,Low,Cream,9,2025,"₹1,000"
2023,"₹42,156",Wardrobe,Engineered Wood,Low,Walnut,2,2025,"₹20,656"
2023,"₹25,891",Sofa,Engineered Wood,High,Grey,2,2025,"₹20,971"
2016,"₹4,783",Dresser,Wood,Medium,Red,9,2025,"₹1,000"
2015,"₹45,518",TV Unit,Teak Wood,Medium,Black,10,2025,"₹4,887"
2019,"₹17,012",Table,Plywood,High,Beige,6,2025,"₹9,040"
2024,"₹14,282",Cabinet,Steel,High,Grey,1,2025,"₹12,853"
2023,"₹28,775",Sofa,Steel,High,Black,2,2025,"₹23,307"
2020,"₹33,666",Bed,Steel,High,Cream,5,2025,"₹19,879"
2018,"₹43,033",TV Unit,MDF,High,Walnut,7,2025,"₹20,582"
2018,"₹33,371",Chair,Plywood,Medium,Grey,7,2025,"₹6,998"
2020,"₹10,171",Wardrobe,Plywood,Low,White,5,2025,"₹1,709"
2015,"₹5,671",TV Unit,Wood,Low,Teak,10,2025,"₹1,000"
2021,"₹24,329",Bed,Plywood,Low,Beige,4,2025,"₹5,841"
2015,"₹18,806",Table,Plywood,Medium,Red,10,2025,"₹2,019"
2018,"₹3,550",Dresser,Teak Wood,High,Teak,7,2025,"₹1,697"
2015,"₹31,512",Wardrobe,Teak Wood,Low,Black,10,2025,"₹1,000"
2019,"₹14,135",Table,Steel,Low,Black,6,2025,"₹1,662"
2018,"₹17,282",Chair,MDF,High,Red,7,2025,"₹8,265"
2016,"₹20,490",Cabinet,Plywood,High,Red,9,2025,"₹7,938"
2021,"₹24,034",Cabinet,Engineered Wood,Low,Blue,4,2025,"₹5,770"
2022,"₹24,311",Bed,Engineered Wood,Low,Blue,3,2025,"₹8,338"
2019,"₹47,469",Cabinet,Plastic,Medium,Red,6,2025,"₹12,443"
2023,"₹23,020",Table,Plastic,High,Beige,2,2025,"₹18,646"
2023,"₹47,709",TV Unit,Plastic,Medium,Teak,2,2025,"₹30,533"
2016,"₹39,562",Table,Teak Wood,Medium,Beige,9,2025,"₹5,309"
2022,"₹3,698",Dining Table,Plastic,High,Teak,3,2025,"₹2,695"
2015,"₹17,740",Table,MDF,High,Blue,10,2025,"₹6,185"
2016,"₹11,874",Sofa,Steel,Medium,Cream,9,2025,"₹1,593"
2016,"₹15,501",TV Unit,Plywood,High,Walnut,9,2025,"₹6,005"
2018,"₹28,874",Chair,Wood,Low,Beige,7,2025,"₹2,377"
2018,"₹19,613",Wardrobe,Engineered Wood,High,Grey,7,2025,"₹9,380"
2024,"₹41,360",Wardrobe,Plastic,Low,Grey,1,2025,"₹28,951"
2018,"₹15,175",Chair,Engineered Wood,Low,Black,7,2025,"₹1,249"
2021,"₹23,021",Bed,Engineered Wood,Medium,White,4,2025,"₹9,429"
2023,"₹36,771",Dining Table,Wood,Medium,White,2,2025,"₹23,533"
2019,"₹9,172",Bookshelf,MDF,Low,Walnut,6,2025,"₹1,079"
2018,"₹31,502",Dresser,Wood,Low,Black,7,2025,"₹2,594"
2021,"₹28,883",Table,Teak Wood,High,White,4,2025,"₹18,950"
2021,"₹15,169",Table,Plastic,Low,Black,4,2025,"₹3,642"
2018,"₹41,133",Cabinet,Plastic,Medium,Brown,7,2025,"₹8,626"
2017,"₹42,879",Bookshelf,Plywood,Low,Blue,8,2025,"₹2,471"
2022,"₹49,477",Table,MDF,Medium,White,3,2025,"₹25,332"
2021,"₹3,925",TV Unit,Plywood,High,Blue,4,2025,"₹2,575"
2022,"₹25,151",Table,Steel,Low,White,3,2025,"₹8,626"
2023,"₹8,430",Chair,Plywood,Medium,Walnut,2,2025,"₹5,395"
2015,"₹36,093",Bed,Steel,Low,Beige,10,2025,"₹1,019"
2022,"₹48,986",Bed,Wood,High,Brown,3,2025,"₹35,710"
2016,"₹35,270",Wardrobe,Steel,Medium,Grey,9,2025,"₹4,733"
2019,"₹37,958",Wardrobe,Teak Wood,Low,White,6,2025,"₹4,465"
2023,"₹22,022",Bed,Plastic,Medium,Cream,2,2025,"₹14,094"
2017,"₹43,479",Wardrobe,Plastic,Medium,Brown,8,2025,"₹7,294"
2017,"₹13,199",Sofa,Plastic,Medium,Cream,8,2025,"₹2,214"
2016,"₹12,228",Sofa,Engineered Wood,Low,White,9,2025,"₹1,000"
2016,"₹32,545",Bookshelf,Steel,High,Blue,9,2025,"₹12,608"
2017,"₹26,774",Cabinet,Wood,Medium,Brown,8,2025,"₹4,491"
2022,"₹9,439",Bookshelf,Wood,Medium,Beige,3,2025,"₹4,832"
2020,"₹24,492",Bookshelf,Teak Wood,Medium,Blue,5,2025,"₹8,025"
2022,"₹34,684",Dining Table,Plywood,Low,Grey,3,2025,"₹11,896"
2017,"₹5,201",Cabinet,Plywood,Low,Teak,8,2025,"₹1,000"
2020,"₹41,066",Dining Table,Plywood,Low,White,5,2025,"₹6,901"
2015,"₹20,192",Bed,Wood,Medium,Grey,10,2025,"₹2,168"
2022,"₹21,067",Bookshelf,Plastic,High,Walnut,3,2025,"₹15,357"
2021,"₹28,788",Bed,Plastic,Low,Blue,4,2025,"₹6,911"
2020,"₹7,781",TV Unit,Plastic,Low,White,5,2025,"₹1,307"
2017,"₹6,883",Bookshelf,Plastic,High,Beige,8,2025,"₹2,962"
2015,"₹20,308",Bed,Wood,Low,Walnut,10,2025,"₹1,000"
2019,"₹10,367",Sofa,MDF,High,Cream,6,2025,"₹5,509"
2019,"₹46,105",Bed,Engineered Wood,High,Black,6,2025,"₹24,502"
2018,"₹16,811",Bookshelf,Plywood,Low,Red,7,2025,"₹1,384"
2023,"₹30,360",Wardrobe,MDF,Medium,Teak,2,2025,"₹19,430"
2019,"₹47,114",Bed,Wood,Medium,Blue,6,2025,"₹12,350"
2022,"₹47,939",Dresser,MDF,Low,Cream,3,2025,"₹16,443"
2017,"₹32,234",Dining Table,Engineered Wood,High,Red,8,2025,"₹13,875"
2021,"₹17,110",Cabinet,MDF,High,White,4,2025,"₹11,225"
2022,"₹18,645",Dresser,Wood,Medium,Grey,3,2025,"₹9,546"
2022,"₹21,901",Table,Plastic,Medium,Red,3,2025,"₹11,213"
2017,"₹19,316",Wardrobe,Teak Wood,Low,Black,8,2025,"₹1,113"
2022,"₹20,998",Bookshelf,Steel,Low,White,3,2025,"₹7,202"
2018,"₹28,926",Dining Table,Steel,Medium,Brown,7,2025,"₹6,066"
2016,"₹45,223",Wardrobe,MDF,High,Blue,9,2025,"₹17,520"
2021,"₹47,174",TV Unit,Steel,High,Beige,4,2025,"₹30,950"
2024,"₹31,323",Sofa,Engineered Wood,Low,Teak,1,2025,"₹21,926"
2021,"₹6,940",Cabinet,Wood,Low,Cream,4,2025,"₹1,666"
2022,"₹38,092",Table,Wood,Medium,Beige,3,2025,"₹19,503"
2024,"₹11,620",Chair,Engineered Wood,High,Teak,1,2025,"₹10,458"
2024,"₹24,797",Bed,Plastic,Medium,Walnut,1,2025,"₹19,837"
2015,"₹30,202",Bookshelf,Engineered Wood,High,Beige,10,2025,"₹10,530"
2019,"₹41,988",Dining Table,Wood,Low,Grey,6,2025,"₹4,939"
2023,"₹14,079",TV Unit,MDF,Low,Beige,2,2025,"₹6,898"
2023,"₹3,526",Dining Table,Teak Wood,High,Brown,2,2025,"₹2,856"
2023,"₹23,477",TV Unit,Teak Wood,Medium,Walnut,2,2025,"₹15,025"
2019,"₹10,963",Bed,Plywood,High,Grey,6,2025,"₹5,826"
2020,"₹24,357",Dining Table,MDF,Medium,Blue,5,2025,"₹7,981"
2017,"₹8,050",Dresser,MDF,High,White,8,2025,"₹3,465"
2020,"₹8,546",Cabinet,Plywood,Medium,Teak,5,2025,"₹2,800"
2022,"₹12,962",Table,Engineered Wood,Low,Walnut,3,2025,"₹4,445"
2021,"₹38,332",Bed,Engineered Wood,Low,Blue,4,2025,"₹9,203"
2016,"₹42,001",Table,Engineered Wood,High,Teak,9,2025,"₹16,272"
2022,"₹22,992",Wardrobe,Plastic,High,Walnut,3,2025,"₹16,761"
2018,"₹5,450",Cabinet,Wood,High,Blue,7,2025,"₹2,606"
2015,"₹19,448",Table,Wood,High,Red,10,2025,"₹6,781"
2016,"₹23,113",TV Unit,Engineered Wood,Low,Grey,9,2025,"₹1,000"
2024,"₹42,025",Chair,Teak Wood,High,Grey,1,2025,"₹37,822"
2023,"₹7,866",Bookshelf,Teak Wood,Low,Red,2,2025,"₹3,854"
2022,"₹11,865",TV Unit,Engineered Wood,Low,Brown,3,2025,"₹4,069"
2018,"₹16,782",Chair,Plywood,Medium,White,7,2025,"₹3,519"
2020,"₹29,335",Bookshelf,Engineered Wood,Medium,Walnut,5,2025,"₹9,612"
2023,"₹15,230",Chair,Plywood,High,Red,2,2025,"₹12,336"
2016,"₹33,324",Wardrobe,MDF,High,Teak,9,2025,"₹12,910"
2020,"₹44,627",Bookshelf,Engineered Wood,Medium,Walnut,5,2025,"₹14,623"
2020,"₹39,499",Wardrobe,MDF,Low,White,5,2025,"₹6,638"
2023,"₹11,160",Dining Table,Plywood,High,Beige,2,2025,"₹9,039"
2018,"₹17,679",Cabinet,Steel,High,Red,7,2025,"₹8,455"
2015,"₹39,735",Dresser,Teak Wood,Low,Brown,10,2025,"₹1,122"
2015,"₹20,424",Dining Table,MDF,Medium,Blue,10,2025,"₹2,193"
2020,"₹9,167",Chair,Plywood,Medium,Walnut,5,2025,"₹3,003"
2020,"₹6,509",Chair,Plastic,Low,Grey,5,2025,"₹1,093"
2022,"₹13,356",Chair,Steel,Low,Cream,3,2025,"₹4,581"
2023,"₹46,355",Bed,Steel,High,Grey,2,2025,"₹37,547"
2023,"₹9,199",Sofa,Wood,Low,Beige,2,2025,"₹4,507"
2023,"₹38,403",Bed,Wood,Medium,Teak,2,2025,"₹24,577"
2018,"₹17,695",TV Unit,Teak Wood,Medium,Walnut,7,2025,"₹3,710"
2018,"₹42,651",Bookshelf,Engineered Wood,Medium,Cream,7,2025,"₹8,944"
2021,"₹24,264",Cabinet,Wood,Medium,Black,4,2025,"₹9,938"
2022,"₹33,715",Chair,Engineered Wood,Low,Cream,3,2025,"₹11,564"
2015,"₹11,744",Dresser,Steel,Medium,Cream,10,2025,"₹1,261"
2019,"₹4,414",TV Unit,MDF,Medium,Cream,6,2025,"₹1,157"
2015,"₹29,768",Wardrobe,Engineered Wood,Medium,Walnut,10,2025,"₹3,196"
2018,"₹17,934",Dresser,Plywood,Medium,Red,7,2025,"₹3,761"
2015,"₹27,782",Bed,Engineered Wood,Low,Teak,10,2025,"₹1,000"
2016,"₹23,835",Bookshelf,Engineered Wood,Medium,White,9,2025,"₹3,199"
2021,"₹31,999",Bed,Teak Wood,High,Brown,4,2025,"₹20,994"
2018,"₹11,891",Cabinet,MDF,High,White,7,2025,"₹5,687"
2024,"₹38,981",Sofa,Plastic,Low,Teak,1,2025,"₹27,286"
2018,"₹13,081",TV Unit,Plastic,Medium,Brown,7,2025,"₹2,743"
2015,"₹23,501",Bookshelf,Steel,Medium,Teak,10,2025,"₹2,523"
2022,"₹41,713",Dresser,Plywood,Medium,Brown,3,2025,"₹21,357"
2015,"₹20,899",Dining Table,MDF,High,Black,10,2025,"₹7,287"
2020,"₹32,771",Cabinet,Steel,Low,White,5,2025,"₹5,507"
2022,"₹18,248",Dining Table,MDF,High,Walnut,3,2025,"₹13,302"
2024,"₹39,906",Dining Table,Steel,High,Black,1,2025,"₹35,915"
2016,"₹4,041",Sofa,Teak Wood,Low,Grey,9,2025,"₹1,000"
2022,"₹9,631",Wardrobe,Teak Wood,High,Walnut,3,2025,"₹7,020"
2015,"₹12,129",Table,Plastic,High,Beige,10,2025,"₹4,229"
2020,"₹27,892",TV Unit,Wood,Medium,Teak,5,2025,"₹9,139"
2021,"₹22,341",Wardrobe,Wood,High,Beige,4,2025,"₹14,657"
2020,"₹48,778",Dining Table,Steel,Low,Grey,5,2025,"₹8,198"
2018,"₹4,242",Dining Table,MDF,Low,Blue,7,2025,"₹1,000"
2017,"₹29,797",Bookshelf,Engineered Wood,Medium,Cream,8,2025,"₹4,999"
2020,"₹5,455",Bookshelf,Plywood,High,Blue,5,2025,"₹3,221"
2022,"₹5,553",Wardrobe,Wood,Medium,Grey,3,2025,"₹2,843"
2023,"₹31,583",Bed,Engineered Wood,Medium,Red,2,2025,"₹20,213"
2017,"₹30,339",Wardrobe,Plywood,Low,Teak,8,2025,"₹1,748"
2019,"₹12,248",Wardrobe,Plastic,Medium,White,6,2025,"₹3,210"
2019,"₹3,784",Dining Table,Steel,Medium,Red,6,2025,"₹1,000"
2021,"₹10,037",Wardrobe,Plywood,High,Grey,4,2025,"₹6,585"
2023,"₹9,197",Sofa,Steel,Low,Walnut,2,2025,"₹4,506"
2021,"₹40,779",Wardrobe,Teak Wood,High,Teak,4,2025,"₹26,755"
2020,"₹4,666",Bed,Plywood,High,Grey,5,2025,"₹2,755"
2018,"₹17,073",Table,Steel,High,Black,7,2025,"₹8,165"
2023,"₹8,739",Dining Table,Wood,Low,Black,2,2025,"₹4,282"
2020,"₹15,519",Wardrobe,Teak Wood,Low,Blue,5,2025,"₹2,608"
2018,"₹12,596",Dresser,Engineered Wood,Medium,White,7,2025,"₹2,641"
2017,"₹18,448",Dining Table,Plastic,High,Black,8,2025,"₹7,941"
2024,"₹31,487",Table,Teak Wood,High,Teak,1,2025,"₹28,338"
2017,"₹22,025",Wardrobe,MDF,High,Teak,8,2025,"₹9,481"
2024,"₹26,836",Wardrobe,MDF,Medium,Beige,1,2025,"₹21,468"
2019,"₹45,360",Bookshelf,Teak Wood,Low,Teak,6,2025,"₹5,336"
2016,"₹29,684",Dresser,Steel,High,Blue,9,2025,"₹11,500"
2021,"₹20,268",Chair,Teak Wood,High,Brown,4,2025,"₹13,297"
2022,"₹32,354",Dining Table,Steel,High,Red,3,2025,"₹23,586"
2018,"₹47,842",Dining Table,Steel,Low,Grey,7,2025,"₹3,939"
2018,"₹23,071",Dresser,Wood,High,Black,7,2025,"₹11,034"
2015,"₹48,064",Table,Steel,Medium,Black,10,2025,"₹5,160"
2020,"₹28,397",Bed,MDF,High,Black,5,2025,"₹16,768"
2016,"₹43,062",Table,Teak Wood,High,Brown,9,2025,"₹16,683"
2015,"₹46,394",Sofa,Wood,High,Walnut,10,2025,"₹16,176"
2023,"₹35,827",Dresser,Wood,High,Grey,2,2025,"₹29,019"
2020,"₹14,143",TV Unit,MDF,Low,Beige,5,2025,"₹2,377"
2016,"₹12,390",Bookshelf,Plastic,Low,Beige,9,2025,"₹1,000"
2015,"₹5,555",Table,Wood,Low,Beige,10,2025,"₹1,000"
2020,"₹16,438",Cabinet,MDF,Low,Brown,5,2025,"₹2,762"
2021,"₹49,710",Table,Wood,High,Black,4,2025,"₹32,614"
2017,"₹28,574",Bed,Plywood,High,Black,8,2025,"₹12,300"
2015,"₹3,977",TV Unit,Wood,Medium,Blue,10,2025,"₹1,000"
2015,"₹36,712",Table,Wood,Medium,Walnut,10,2025,"₹3,941"
2023,"₹39,565",Chair,Plywood,Low,Black,2,2025,"₹19,386"
2020,"₹6,982",Dresser,Plastic,Medium,Grey,5,2025,"₹2,287"
2018,"₹24,863",TV Unit,Engineered Wood,Medium,Grey,7,2025,"₹5,214"
2019,"₹30,351",Table,Plastic,Low,Beige,6,2025,"₹3,570"
2017,"₹17,585",Wardrobe,Plastic,High,White,8,2025,"₹7,569"
2016,"₹27,557",Cabinet,Wood,High,Brown,9,2025,"₹10,676"
2015,"₹32,754",Wardrobe,Wood,Medium,Cream,10,2025,"₹3,516"
2017,"₹25,978",Table,Plastic,Medium,Blue,8,2025,"₹4,358"
2018,"₹35,021",Table,Plywood,Low,Grey,7,2025,"₹2,884"
2020,"₹38,064",Chair,Plastic,Medium,Teak,5,2025,"₹12,472"
2018,"₹3,809",Bed,Teak Wood,Medium,Beige,7,2025,"₹1,000"
2019,"₹23,575",Bed,Plastic,High,Teak,6,2025,"₹12,528"
2023,"₹21,547",TV Unit,MDF,Medium,Black,2,2025,"₹13,790"
2020,"₹35,832",Bed,Engineered Wood,Low,Beige,5,2025,"₹6,022"
2019,"₹7,290",Table,Teak Wood,Medium,Black,6,2025,"₹1,911"
2019,"₹32,156",Dining Table,Engineered Wood,Medium,Blue,6,2025,"₹8,429"
2019,"₹46,697",Wardrobe,Steel,Medium,Walnut,6,2025,"₹12,241"
2022,"₹47,549",TV Unit,Engineered Wood,Medium,Teak,3,2025,"₹24,345"
2024,"₹26,890",Chair,Teak Wood,Medium,Blue,1,2025,"₹21,512"
2017,"₹11,677",Chair,Wood,Low,Grey,8,2025,"₹1,000"
2023,"₹24,760",Bed,Engineered Wood,High,White,2,2025,"₹20,055"
2021,"₹18,971",Chair,Steel,High,Grey,4,2025,"₹12,446"
2019,"₹19,547",Dining Table,Teak Wood,Medium,Beige,6,2025,"₹5,124"
2021,"₹11,837",Sofa,Wood,Medium,Brown,4,2025,"₹4,848"
2021,"₹28,611",Sofa,Engineered Wood,Low,Grey,4,2025,"₹6,869"
2018,"₹10,187",Cabinet,Steel,Medium,Blue,7,2025,"₹2,136"
2016,"₹49,753",Dresser,MDF,High,Teak,9,2025,"₹19,275"
2016,"₹47,172",TV Unit,Wood,Medium,Brown,9,2025,"₹6,331"
2018,"₹48,838",Cabinet,Wood,High,Brown,7,2025,"₹23,359"
2016,"₹11,940",Table,Teak Wood,Low,Red,9,2025,"₹1,000"
2018,"₹39,045",Chair,Steel,High,Red,7,2025,"₹18,675"
2017,"₹16,370",Dining Table,Teak Wood,Medium,Grey,8,2025,"₹2,746"
2015,"₹33,533",TV Unit,Wood,High,Blue,10,2025,"₹11,692"
2024,"₹17,185",Wardrobe,Engineered Wood,High,White,1,2025,"₹15,466"
2017,"₹26,787",Chair,Steel,Low,White,8,2025,"₹1,544"
2021,"₹34,220",Sofa,Wood,Medium,Grey,4,2025,"₹14,016"
2015,"₹17,293",Sofa,Plastic,Low,White,10,2025,"₹1,000"
2020,"₹28,987",Wardrobe,Wood,Low,White,5,2025,"₹4,871"
2024,"₹48,030",Dining Table,Wood,Medium,Red,1,2025,"₹38,424"
2017,"₹4,669",Bookshelf,MDF,Medium,Beige,8,2025,"₹1,000"
2020,"₹20,187",Table,MDF,Medium,Brown,5,2025,"₹6,614"
2015,"₹29,369",Bed,Plastic,Low,Beige,10,2025,"₹1,000"
2016,"₹13,347",Cabinet,Wood,Low,White,9,2025,"₹1,000"
2021,"₹41,026",TV Unit,Plywood,High,White,4,2025,"₹26,917"
2018,"₹36,418",Chair,Steel,High,Walnut,7,2025,"₹17,418"
2022,"₹48,630",Bookshelf,Engineered Wood,Low,Red,3,2025,"₹16,680"
2017,"₹12,918",TV Unit,Wood,Medium,Brown,8,2025,"₹2,167"
2019,"₹47,458",Dresser,MDF,Low,Red,6,2025,"₹5,583"
2018,"₹39,200",Wardrobe,Plywood,High,Cream,7,2025,"₹18,749"
2018,"₹47,803",Dining Table,Steel,Medium,Black,7,2025,"₹10,025"
2016,"₹48,840",Wardrobe,Plastic,Low,Blue,9,2025,"₹1,970"
2016,"₹19,738",Dresser,Steel,Medium,Red,9,2025,"₹2,649"
2022,"₹43,311",TV Unit,Teak Wood,High,Walnut,3,2025,"₹31,573"
2019,"₹16,287",Wardrobe,Wood,Medium,Grey,6,2025,"₹4,269"
2015,"₹18,335",Cabinet,Plastic,Medium,Red,10,2025,"₹1,968"
2020,"₹49,419",Dining Table,Engineered Wood,Medium,Blue,5,2025,"₹16,193"
2024,"₹44,110",Bed,Teak Wood,Medium,Brown,1,2025,"₹35,288"
2018,"₹45,147",Bookshelf,MDF,Medium,Blue,7,2025,"₹9,468"
2018,"₹37,234",Cabinet,Plastic,Low,Cream,7,2025,"₹3,066"
2017,"₹36,274",Wardrobe,MDF,Medium,Beige,8,2025,"₹6,085"
2022,"₹36,014",Sofa,Plywood,Low,Walnut,3,2025,"₹12,352"
2023,"₹4,370",Dresser,Teak Wood,Low,Brown,2,2025,"₹2,141"
